pose_pure.x;pose_pure.y;pose_pure.z;pose_pure.yaw;pose_pure.pitch;pose_pure.roll;imu_pure.dtheta;imu_pure.dphi;imu_pure.dpsi;loch_doppler_pure.vx;loch_doppler_pure.vy;loch_doppler_pure.vz;imu_pure.ddx;imu_pure.ddy;imu_pure.ddz;Transponder;Transponder.001;Transponder.002;Transponder.003;pose_noisy.x;pose_noisy.y;pose_noisy.z;pose_noisy.yaw;pose_noisy.pitch;pose_noisy.roll;imu_noisy.dtheta;imu_noisy.dphi;imu_noisy.dpsi;loch_doppler_noisy.vx;loch_doppler_noisy.vy;loch_doppler_noisy.vz;imu_noisy.ddx;imu_noisy.ddy;imu_noisy.ddz;Transponder;Transponder.001;Transponder.002;Transponder.003
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.09197248270634513;-0.27554211842865295;0.12378308586782436;0.0007536428004749884;-6.204863737867272e-05;0.00036739327332624796;-0.00015698577044531703;0.00011108582839369774;-0.00013016484444960952;0.0;0.0;0.0;-0.12897053360939026;0.0377514623105526;9.797627449035645;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.022344499069950147;0.07417631621120985;-0.16508786295744846;0.0002426436692814304;5.979824685818064e-05;1.0511129352071961e-05;0.0002934442018158734;0.00026992548373527825;-7.706964970566332e-05;0.0;0.0;0.0;0.13569903373718262;0.029702046886086464;9.754450798034668;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.06579298570336066;0.251392224171219;0.07978335150438753;0.00016626945009054971;-1.541113206414513e-06;-0.00015803082037544805;0.00011866141721839085;-9.569386020302773e-05;-2.6199738840659847e-06;0.0;0.0;0.0;0.004138920921832323;-0.012033985927700996;9.769845008850098;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.032405344048980114;0.033215839879044924;0.07553389443059899;-0.00026326288864949107;0.00014258025720355493;0.000300003624875261;-0.00011286374501651153;-0.00019472403801046312;0.0003648635174613446;0.0;0.0;0.0;0.11205783486366272;-0.04749149829149246;9.678609848022461;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.0302551593295453;-0.28197058596744995;-0.0665739709889114;-0.0006544827073997482;0.0003290076244593497;-0.0003918659258691081;0.00020352212595753372;2.7665930247167125e-05;6.270270387176424e-05;0.0;0.0;0.0;0.07270049303770065;-0.06583984196186066;9.76241397857666;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.07131120897320108;-0.009380669342636582;0.009824452165755067;-0.00047676902777746294;0.00014938397569872733;-0.0006291692509801976;-0.00010273203224642202;0.00010706970351748168;-0.00024247070541605353;0.0;0.0;0.0;-0.016705036163330078;0.07207848876714706;9.92719841003418;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.14581718550856415;0.04859303094559262;0.08919777332409647;-0.00025278684217157257;0.00018172378414100005;-0.0004296644796004511;-0.00013810608652420342;-4.63011056126561e-05;-1.791004979168065e-05;0.0;0.0;0.0;0.011953945271670818;-0.18440398573875427;9.737756729125977;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.17055603513415768;-0.4156337854864019;0.1553381999180566;0.00018692541385084948;-8.327438048179419e-05;0.0005161483200933913;-0.0001363348710583523;9.693107131170109e-05;-6.708608998451382e-05;0.0;0.0;0.0;0.05379772558808327;0.09604048728942871;9.667241096496582;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.1526377900501851;-0.36791148482124575;0.06354887083150067;0.0002505853624781926;0.0004830739945495652;-0.0003099638800841816;0.00018821388948708773;-4.7162873670458794e-05;7.81571288825944e-05;0.0;0.0;0.0;0.13466909527778625;-0.11705651879310608;9.629802703857422;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.32727929388263466;0.14785814852010437;0.32776859729495833;0.00019903152024174924;0.00041502302149130335;-0.00012788661366912695;5.865604180144146e-05;-0.00011607418127823621;4.251721111359075e-05;0.0;0.0;0.0;0.06760717928409576;0.05519747734069824;9.811850547790527;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
