#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder,002;Transponder,005;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder,002;Transponder,005
10,87333298;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;124,891377;345,6932591;10,69349215;0,140745687;0,323555102;0,000674716;2,77E-05;5,11E-05;-0,000218417;-0,000165078;7,89E-06;3,999995947;0;0;-0,08115387;-0,024834817;9,888783455;124,891377;345,6932591
11,27333355;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;125,2849341;345,4977396;11,38779364;-0,016737447;-0,085575933;-0,000421922;-0,000274067;-0,000197345;8,97E-05;-0,000146736;0,000170105;3,999995947;0;0;0,011226075;0,054519158;9,823497772;125,2849341;345,4977396
11,67333317;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;125,6785319;345,3025727;11,88449797;-0,015204871;0,053052808;-0,00023382;-0,000573326;-0,000157005;-3,66E-05;-7,00E-06;0,000334431;3,999995947;0;0;0,167776272;0,097769812;9,774485588;125,6785319;345,3025727
12,07333374;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;126,07217;345,1077591;12,29924545;0,058117957;0,206869459;0,000474331;0,000388751;-0,000322473;-0,000155181;5,90E-07;0,000259639;3,999995947;0;0;0,057034038;-0,061717026;9,707419395;126,07217;345,1077591
12,47333336;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;126,465848;344,9132993;12,42650098;-0,184597077;-0,259155574;0,000176037;0,000205991;-0,000188311;-5,73E-05;0,000229242;-0,000204937;3,999995947;0;0;-0,139270604;0,03412674;9,790314674;126,465848;344,9132993
12,87333298;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;126,8595656;344,719194;13,03471575;0,312578148;-0,007230775;-0,000118485;8,70E-05;9,86E-05;-0,000189833;-0,000223978;-2,99E-05;3,999995947;0;0;-0,043232843;-0,184467107;9,709897995;126,8595656;344,719194
13,27333355;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;127,2533223;344,5254437;13,39765942;0,14831893;0,127384905;1,03E-05;0,000111733;0,000309262;0,000280646;-0,000106017;0,000240988;3,999995947;0;0;0,0014837;0,033717886;9,866776466;127,2533223;344,5254437
13,67333317;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;127,6471179;344,3320491;13,81641173;0,021749632;0,083490126;-0,000157895;0,000174573;-0,000733304;-0,000292018;-5,63E-05;-0,000386326;3,999995947;0;0;0,123949401;-0,002015907;9,849077225;127,6471179;344,3320491
14,07333374;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;128,040952;344,1390107;13,95037262;0,177752776;0,146183481;0,000512929;0,000430102;0,000391865;2,12E-05;-0,000104049;-5,94E-05;3,999995947;0;0;-0,031872731;-0,111983217;9,977928162;128,040952;344,1390107
14,47333336;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;128,4348241;343,9463292;14,48828243;-0,007046915;0,04814891;-0,000213544;-0,000198973;0,000270506;0,000170832;-0,000110555;-0,000310589;3,999995947;0;0;0,077251278;-0,050705414;9,932736397;128,4348241;343,9463292
14,87333298;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;128,828734;343,7540051;14,89080767;0,038902286;-0,044247433;0,000249194;-0,000174761;-6,77E-05;2,03E-05;-7,96E-05;-4,09E-05;3,999995947;0;0;0,06972228;-0,065595873;9,736104012;128,828734;343,7540051
15,27333355;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;129,2226814;343,5620391;15,19831497;-0,091595133;-0,128995926;-0,000478452;-0,000201767;-4,93E-05;-0,00017968;5,96E-05;-0,000126854;3,999995947;0;0;-0,028936319;0,02694482;9,830784798;129,2226814;343,5620391
15,67333317;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;129,6166658;343,3704317;15,69813307;-0,23241386;-0,008660269;7,22E-05;0,00022953;8,49E-05;0,000253471;-0,000126097;6,98E-05;3,999995947;0;0;0,041646272;0,05999371;9,822768211;129,6166658;343,3704317
16,07333374;0;0;0;0;0;0;0;0;4,000052929;0;0;0,00056982;0;9,81000042;130,0106869;343,1791836;16,08161218;0,233315577;0,286469696;-0,000626893;0,000214724;-0,000116968;0,000106988;8,80E-05;-0,000157071;4,000052929;0;0;-0,192270651;-0,184712499;9,994174957;130,0106869;343,1791836
16,47333336;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;130,4047445;342,9882953;16,40767313;-0,037185178;0,131911834;0,000295638;0,000440256;-0,000486088;0,000254612;0,000202574;7,41E-05;3,999938726;0;0;0,032267433;0,064673126;9,931974411;130,4047445;342,9882953
16,87333298;0;0;0;0;0;0;0;0;3,999938726;0;0;-0,001142025;0;9,81000042;130,7988381;342,7977675;16,65640379;0,15423701;0,048036036;0,000399387;-0,000388645;-0,000293638;5,97E-05;-0,000185447;-0,00021353;3,999938726;0;0;0,059388347;0,055285562;9,761662483;130,7988381;342,7977675
17,2733326;0;0;0;0;0;0;0;0;3,999938726;0;0;0;0;9,81000042;131,1929675;342,6076007;17,45040039;0,056036898;-0,096528939;-0,000586645;-4,86E-05;-0,0005271;-0,000116003;0,000124434;0,000281379;4,000052929;0;0;0,143306926;-0,07773976;9,752225876;131,1929675;342,6076007
17,67333412;0;0;0;0;0;0;0;0;4,000052929;0;0;0,001142025;0;9,81000042;131,5871323;342,4177956;17,484537;-0,161097732;0,022386416;0,000206404;0,000391716;0,000290604;1,47E-05;6,96E-05;-5,03E-05;3,999938726;0;0;0,076640479;0,021991996;9,90230751;131,5871323;342,4177956
18,07333374;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;131,9813322;342,2283527;17,84916201;0,210426695;-0,265739763;-0,000574123;-0,000102379;0,00070277;0,000263817;-0,000194401;-0,000118626;3,999938726;0;0;-0,052186642;0,054690309;9,658845901;131,9813322;342,2283527
18,47333336;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;132,3755669;342,0392727;18,46877248;-0,092034288;-0,068070491;-0,000200546;-0,000349801;-0,00061754;0,000135892;-5,50E-05;0,000135456;3,999938726;0;0;-0,05958499;-0,064845316;9,835006714;132,3755669;342,0392727
18,87333298;0;0;0;0;0;0;0;0;3,999938726;0;0;-0,001142025;0;9,81000042;132,7698361;341,8505561;18,81737625;-0,129541272;-0,11905455;0,000262371;-0,000641771;0,000117954;-9,62E-05;-0,000219566;-6,32E-05;4,000052929;0;0;0,139645621;0,102020293;9,894296646;132,7698361;341,8505561
19,2733326;0;0;0;0;0;0;0;0;3,999938726;0;0;0;0;9,81000042;133,1641395;341,6622036;19,31609189;0,174694935;-0,204431461;0,00058787;0,0002459;-0,000143949;-3,24E-05;0,000184774;-0,000158841;4,000052929;0;0;0,05864865;0,061255842;9,796001434;133,1641395;341,6622036
19,67333412;0;0;0;0;0;0;0;0;4,000052929;0;0;0,001142025;0;9,81000042;133,5584767;341,4742158;19,73338814;-0,188923804;-0,06959971;0,000387334;0,000390283;0,000114176;0,000117011;-0,000109343;-0,000180387;3,999938726;0;0;0,071994662;-0,007266005;9,813231468;133,5584767;341,4742158
20,07333374;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;133,9528476;341,2865932;20,01043827;-0,142083068;-0,169114544;0,000292421;-0,000399681;0,000118687;-0,000141078;3,05E-05;1,31E-05;3,999938726;0;0;0,109337799;0,085276492;9,936710358;133,9528476;341,2865932
20,47333336;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;134,3472517;341,0993365;20,4602649;0,003013784;-0,215297521;-0,000137157;-4,41E-05;0,000162181;0,000167552;0,00020938;-0,000201987;3,999938726;0;0;-0,076496013;0,137415946;9,757445335;134,3472517;341,0993365
20,87333298;0;0;0;0;0;0;0;0;3,999938726;0;0;-0,001142025;0;9,81000042;134,7416888;340,9124463;20,88609407;-0,053024817;-0,225920121;0,000282043;-0,000252172;-0,000295404;0,000215817;-0,000192159;2,48E-06;4,000052929;0;0;-0,022131231;0,045013584;9,682287216;134,7416888;340,9124463
