#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder;Transponder,003;Transponder,005;Transponder,006;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder;Transponder,003;Transponder,005;Transponder,006
16,67666626;0;0;0;0;0;0;0;0;3,399924994;0;0;0;0;9,81000042;215,1304516;178,4991444;342,8913986;120,8358854;16,66893911;-0,293980219;-0,001384692;-0,000163419;-0,000777585;-0,000105563;-9,50E-05;0,000159747;0,000268851;3,400039434;0;0;0,008264921;-0,099894948;9,820289612;215,1304516;178,4991444;342,8913986;120,8358854
17,01666641;0;0;0;0;0;0;0;0;3,400039434;0;0;0,001144409;0;9,81000042;215,3939808;178,5788349;342,7295828;120,6298758;16,77898461;-0,229575618;-0,088097321;-7,72E-05;-0,000630148;0,000356305;0,000103226;-2,70E-05;5,52E-05;3,399924994;0;0;-0,122302569;0,107746467;9,818017006;215,3939808;178,5788349;342,7295828;120,6298758
17,35666656;0;0;0;0;0;0;0;0;3,400039434;0;0;0;0;9,81000042;215,6577239;178,6591369;342,5680281;120,4244737;17,39059445;-0,19020053;0,004468465;-0,000564931;4,73E-05;-0,000302039;-0,000112813;6,11E-05;0,000260253;3,400039434;0;0;-0,088925466;0,02933687;9,79950428;215,6577239;178,6591369;342,5680281;120,4244737
17,69666672;0;0;0;0;0;0;0;0;3,400039434;0;0;0;0;9,81000042;215,9216803;178,7400496;342,4067348;120,2196823;17,78873525;-0,085427489;-0,102487108;0,000251284;0,000301058;-8,90E-05;0,000189179;-2,62E-05;0,000165624;3,400039434;0;0;0,100492135;0,048720457;9,799689293;215,9216803;178,7400496;342,4067348;120,2196823
18,03833389;0;0;0;0;0;0;0;0;3,500060797;0;0;1,000213623;0;9,81000042;216,1871446;178,8219733;342,2449145;120,0145052;18,13734835;0,015632549;0,146152655;0,000461661;-0,000599888;-0,0003795;0,00011456;0,000147739;3,61E-06;3,500060797;0;0;1,273117781;-0,093807682;9,827814102;216,1871446;178,8219733;342,2449145;120,0145052
18,38833427;0;0;0;0;0;0;0;0;3,500060797;0;0;0;0;9,81000042;216,4593052;178,9065328;342,0794218;119,8049699;18,27631237;-0,157083501;-0,198162845;0,000497208;-0,000611764;0,000489687;0,000121052;0,000194225;0,000253991;3,499946356;0;0;-0,079074003;-0,184834078;9,734374046;216,4593052;178,9065328;342,0794218;119,8049699
18,73833275;0;0;0;0;0;0;0;0;3,499946356;0;0;-0,001144409;0;9,81000042;216,7316893;178,9917367;341,9142073;119,5960916;18,60421092;-0,097950636;-0,05921034;0,000142728;0,000910686;0,000285234;-0,000359816;-7,48E-06;0,00011227;3,499946356;0;0;0,033957329;-0,16936779;9,66395092;216,7316893;178,9917367;341,9142073;119,5960916
19,08833313;0;0;0;0;0;0;0;0;3,499946356;0;0;0;0;9,81000042;217,004296;179,0775841;341,7492714;119,387874;19,12610687;-0,057244794;0,126668846;0,000353163;-9,37E-05;0,000175483;-0,000130768;2,33E-05;0,000102135;3,500060797;0;0;0,033530001;0,066690676;9,852231026;217,004296;179,0775841;341,7492714;119,387874
19,43833351;0;0;0;0;0;0;0;0;3,500060797;0;0;0,001144409;0;9,81000042;217,2771244;179,1640742;341,5846144;119,1803205;19,36161249;-0,288659218;0,04584589;-0,000234004;0,000216272;0,000189942;0,000249905;0,000172096;2,60E-05;3,499946356;0;0;0,012222437;-0,070279419;9,860683441;217,2771244;179,1640742;341,5846144;119,1803205
19,78833389;0;0;0;0;0;0;0;0;3,500060797;0;0;0;0;9,81000042;217,5501738;179,2512059;341,4202369;118,9734346;19,85809435;-0,12235263;0,034713645;-9,53E-05;-0,000206995;0,000358486;-1,52E-05;3,19E-05;0,000249171;3,69998908;0;0;-0,023120439;0,171096668;9,853932381;217,5501738;179,2512059;341,4202369;118,9734346
